full_address,latitude,longitude,total_leasedSF,company_list,sector_list,lease_count
"177-183 Lafayette St, New York, NY, 10013",40.7194071,-73.9996828,11150,NA; NA; NA; NA; NA,NA,5
"1776 Broadway, New York, NY, 10019",40.7663918,-73.9815021,55050,"NA; NA; NA; NA; NA; NA; NA; Atia Enterprise; Private Md Practice; NA; NA; NA; NA; NA; Wealth Management; Flex Marketing Group; Davenport Realty, Ltd; NA; NA; NA; Dansker Capital; Stephen David Entertainment; Tapinator; NA; NA","NA; Financial Services And Insurance; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",25
"18 E 16th St, New York, NY, 10003",40.7365428,-73.9918617,18857,NA; 3.1 Phillip Lim Retail; NA,NA; Retail,3
"18 E 41st St, New York, NY, 10017",40.7522216,-73.9804723,31047,NA; NA; Arqenta; NA; Painters; NA; NA; George Sexton Architects; Jesse D. Hendrich; NA; NA; NA; NA; Lina Associates; Nyc Chiropractic; NA; NA; NA,NA,18
"18 E 48th St, New York, NY, 10017",40.7565559,-73.9770276,14160,Ring Concierge; Bellcast Partners; NA; Rare Time; NA; NA; NA,Retail; NA,7
"18 W 18th St, New York, NY, 10011",40.7390034,-73.9932784,187708,Wework; Runway; NA,"Coworking And Executive Suite Companies; Technology, Advertising, Media, And Information; NA",3
"18-20 W 21st St, New York, NY, 10010",40.7409526,-73.9921287,27626,NA; Chicory; NA; Seedfi; Nautical Commerce; NA; Gemini,"NA; Technology, Advertising, Media, And Information; Financial Services And Insurance",7
"180 Madison Ave, New York, NY, 10016",40.7476235,-73.9834443,14266,NA; Radical Ai,"NA; Technology, Advertising, Media, And Information",2
"180 Maiden Ln, New York, NY, 10038",40.7052596,-74.0054634,588553,CFG; New York Liquidation Bureau; Behavox; Charles Taylor; NA; NA; NA; NA; Fanerty Bramd; National Debt Relief; Walter P Moore; National Debt Relief; National Debt Relief; The Law Offices Of Robert S. Gitmeid; Fastmatch/Euronext; Stroock & Stroock & Lavan; NA; Liberty One Group; Cover Whale Insurance Solutions; City Year; Splash; Otc Global; Alchemy; Walter P. Moore And Associates; Ipc Information Systems; Splash,"Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Government; Technology, Advertising, Media, And Information; NA; Retail; Financial Services And Insurance; Construction, Engineering And Architecture; Legal Services; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",26
"180 Varick St, New York, NY, 10014",40.7274501,-74.0051394,142240,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Bryan O'sullivan Studio; NA; NA; NA; NA,NA,41
"181-183 Madison Ave, New York, NY, 10016",40.7480989,-73.9827173,153671,NA; NA; NA; Alumni Ventures Group; Audioboom; NA; NA; NA; NA; Wework; NA; NA; NA; NA; NA; Thirty Madison; NA; NA; Charleston Gardens; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Financial Services And Insurance; Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies; Healthcare; Retail",34
"185 Broadway, New York, NY, 10038",40.710432,-74.0101434,9688,NA,NA,1
"185 Madison Ave, New York, NY, 10016",40.7478807,-73.9826884,101502,NA; NA; Wework; NA; NA; NA; NA; Litify; NA; NA; NA; Yurgosky Consulting; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Coworking And Executive Suite Companies; Technology, Advertising, Media, And Information",25
"19 Union Sq W, New York, NY, 10003",40.7361031,-73.9912209,92464,Zip; Updater; Definitions Personal Fitness; Gresham Investment Management; Unqork; NA; NA; NA; Memoir,"Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Technology, Advertising, Media, And Information; Personal Services And Recreation; Financial Services And Insurance; NA",9
"19 W 21st St, New York, NY, 10010",40.7410199,-73.9917674,109533,Yummycolours; NA; NA; NA; NA; Center For Spine Care & Mobility; NA; NA; NA; LIFETIME BRANDS; PERENNIAL PAINTING AND CLEANING; Obsidian Systems; NA; NA; NA; NA; NA; NA; NA; The Research Partnership; Bigelow Trading; NA; NA; NA; NA; NA; NA; NA; NA; NA; Brandcap; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Bendheim Glass; NA; NA; NA,NA,46
"19 W 34th St, New York, NY, 10001",40.7492367,-73.9859816,85563,NA; Videri; NA; NA; NA; NA; NA; NA; NA; NA,NA; Unclassifiable,10
"19 W 44th St, New York, NY, 10036",40.7553003,-73.9808892,125890,NA; NA; Alteryx; NA; NA; NA; NA; NA; Corporate Services; NA; NA; NA; Huemen; NA; NA; NA; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",20
"19-21 W 24th St, New York, NY, 10010",40.742336,-73.9893824,32090,NA; NA; Alethea; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information",7
"19-21 W 36th St, New York, NY, 10018",40.7518667,-73.9886803,5200,NA,NA,1
"192 Lexington Ave, New York, NY, 10016",40.7451031,-73.9810513,39926,Jenaire Gabriel Productions; NA; NA; NA; NA; Smith &; GKS; NA; NA,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Government; Tbd",9
"195 Broadway, New York, NY, 10007",40.710735,-74.009683,897741,Omnicom Media Group; Mckinsey &; Code Climate; Lattice; The Messenger; Getty Images; Moda Operandi; Knotel; Nagarro; Orchestra; Orchard Technologies; Payoneer,"Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail; Coworking And Executive Suite Companies; Financial Services And Insurance",12
"197-201 Grand St, New York, NY, 10013",40.722964,-74.0049296,16500,NA; NA; NA; NA; NA,NA,5
"199 Church St, New York, NY, 10007",40.7161427,-74.0065813,65000,New York State Department Of Labor,Government,1
"199 Water St, New York, NY, 10038",40.7072009,-74.0041584,636425,American Foundation For Suicide Prevention; WCG; Wework; W20 Group; NA; Medreview; Imentor; Myers Holum; Simon Data; Legal Aid Society; NA; NA; Center For Reproductive Rights; Morgan & Morgan; American Friends Of Hebrew University; Frank Recruitment; Guardian Life Insurance; Tenth Revolution Group,"Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Coworking And Executive Suite Companies; Technology, Advertising, Media, And Information; NA; Financial Services And Insurance; Legal Services",18
"2 9th Ave, New York, NY, 10011",40.7457591,-74.0020795,34332,NA; NA; Fifth Wall,NA; Tbd; Financial Services And Insurance,3
"2 Gansevoort St, New York, NY, 10014",40.739335,-74.004027,86231,NA; NA; NA; Kobalt Music; NA; NA; NA; NA; Soundcloud; NA; NA; NA,"NA; Technology, Advertising, Media, And Information",12
"2 Park Avenue, New York, NY, 10016",40.7463563,-73.9825765,482587,The End Fund; Conductor; Creditsights; NA; NA; Essential Brands; NA; NA; Northwell Health; Conductor; Corporate Suites; Herrick Feinstein; NA; Bonnier; Lt Apparel Group; Delta Galil; L&M Real Estate; Haven Life; NA,"Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; NA; Retail; Healthcare; Coworking And Executive Suite Companies; Legal Services; Tbd; Real Estate (Except Coworking Providers); Financial Services And Insurance; Unclassifiable",19
"2 W 45th St, New York, NY, 10036",40.7555697,-73.9802192,37071,NA; NA; NA; NA; Vega Factor; Issami Lcc; NA; NA; NA; NA; Body In Balance Chiropractic; NA; NA; Telecom Infrastructure; NA; NA; NA; NA; NA,"NA; Healthcare; Technology, Advertising, Media, And Information",19
"2 W 46th St, New York, NY, 10036",40.7560989,-73.9798041,64475,"NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Jairaj Gems; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Katarzyna Dlugosz Mental Health Counseling, Pllc; NA; NA; NA; NA; NA",NA; Retail; Healthcare,59
"2 Wall St, New York, NY, 10005",40.7077428,-74.0113059,25016,NA; Kiewit Infrastructure Co; NA,"NA; Construction, Engineering And Architecture",3
"2-6 Harrison St, New York, NY, 10013",40.7187195,-74.0095456,15078,NA; NA,NA,2
"20 Hudson Yards, New York, NY, 10001",40.7559064,-74.0005322,45863,L'oreal,Retail,1
"20 Rockefeller Plaza, New York, NY, 10020",40.7583119,-73.9791393,309000,Christies,Retail,1
"20 W 22nd St, New York, NY, 10010",40.7412837,-73.9915862,89200,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,43
"20 W 36th St, New York, NY, 10018",40.7500555,-73.9849655,35845,NA; NA; Nearmap; Mih Systems Group; NA; NA,"NA; Construction, Engineering And Architecture",6
"20 W 37th St, New York, NY, 10018",40.7506835,-73.9845357,33750,Umarketing; NA; NA; NA; NA,NA,5
"20 W 55th St, New York, NY, 10019",40.7618909,-73.976208,37993,NA; NA; Auberbach Grayson; NA; Calex Partners; Rehs Galleries; Sos Capital; NA; NA,NA; Financial Services And Insurance; Personal Services And Recreation,9
"20-28 W 33rd St, New York, NY, 10001",40.7484021,-73.9865275,14000,NA,NA,1
"200 Fifth Ave, New York, NY, 10010",40.9141649,-73.8079547,527157,Tiffany &; Yelp; Doordash; Knot Worldwide; Doordash,"Retail; Technology, Advertising, Media, And Information; Personal Services And Recreation",5
"200 Hudson St, New York, NY, 10013",40.7230116,-74.0078661,166608,David Yurman; NA,Retail; NA,2
"200 Lafayette St, New York, NY, 10012",40.7214319,-73.9981576,67120,Andreessen Horowitz; A16Z,Financial Services And Insurance,2
"200 Liberty St, New York, NY, 10281",40.7106407,-74.0155561,662365,"Cadwalader, Wickersham & Taft; FINRA; National September 11 Memorial & Museum; Terraform Power, In; National Futures Association; Northwestern Mutual; Akf Group","Legal Services; Financial Services And Insurance; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Energy & Utilities; Construction, Engineering And Architecture",7
"200 Madison Ave, New York, NY, 10016",40.7488842,-73.9827037,147089,Spector Group; Kagan Lubic Lepper Finkelstein & Gold; NA; NA; Neville Rodie & Shaw; Mccubbin Hosiery; NA; Havas; Appnovation; Gen Nx360 Capital Partners; Samba Tv; NA; NA; New York State Society Of Cpa; NA,"Construction, Engineering And Architecture; Legal Services; NA; Financial Services And Insurance; Retail; Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",15
"200 Park Ave S, New York, NY, 10003",40.7369146,-73.9892088,218050,NA; NA; Ultimate Software; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Tao Group Holdings; Ukg New York City; Ite Management; NA; NA; NA; NA; NA; NA; Nina Footwear; Sema4; NA; NA; NA; NA; NA; NA; Trackstar; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Lanco; NA; NA; Parachute Health,"NA; Technology, Advertising, Media, And Information; Personal Services And Recreation; Financial Services And Insurance; Retail",51
"200 Park Ave, New York, NY, 10166",40.7533827,-73.9766738,2496570,NA; Hunton Andrews Kurth; NA; Golub; Metlife; Ireland House; NA; Magnitude Capital; Voya Financial; Lendlease; Siguler Guff & Co; Lendlease; Bny Mellon; Ipsos; Golub; Paul Hastings; NA; Golub Capital; CBRE; BDO USA; Clear Channel; NA; National Financial Partners [Nfp]; NFP; CBRE; Hunton Andrews Kurth; Freddie Mac; NA; Bregal Investments; National Financial Partners [Nfp]; Herbert Smith Freehills; NA; Metlife; Millennium Management; Winston & Strawn,"NA; Legal Services; Financial Services And Insurance; Government; Real Estate (Except Coworking Providers); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Tbd; Technology, Advertising, Media, And Information",35
"200 Varick St, New York, NY, 10014",40.7282096,-74.004484,100872,Bulthaup; Carver Edison; Cota; NA; Incubeta; Middleground Management; Ricciardi Group; Reservoir Media; NA; NA; NA; Duotone Audio Group; Ben Group; H & H Woodworking; Neufeld Scheck Brustin Hoffmann & Freudenberger; David Energy,"NA; Technology, Advertising, Media, And Information; Construction, Engineering And Architecture; Legal Services; Energy & Utilities",16
"200 Vesey St, New York, NY, 10285",40.7136414,-74.0148204,356475,NA; NA; NA; American Express; MDRC; Juvenile Diabetes Research Foundation; NA; Pr Newswire; Manning Gross + Massenburg; Bazooka Candy Brands; Syneos Health,"NA; Financial Services And Insurance; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Technology, Advertising, Media, And Information; Legal Services; Retail; Pharmaceuticals",11
"200 W 41st St, New York, NY, 10018",40.7554264,-73.9878102,120149,Csc Sports; NA; AKM; NA; Control Point; Klestadt & Winters; Hays; NA; NA; NA; NA; Global-E Us; NA; Xumo; NA; NA,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Legal Services; Retail",16
"200 W 57th St, New York, NY, 10019",40.7654311,-73.9804189,5600,NA; NA; NA; NA,NA,4
"202 Centre St, New York, NY, 10013",40.7188891,-73.9990644,3500,NA,NA,1
"205 E 42nd St, New York, NY, 10017",40.7506675,-73.973776,88836,Serendipity Labs; NA; United Way Of New York City,Coworking And Executive Suite Companies; NA; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals),3
"205 Hudson St, New York, NY, 10013",40.7234842,-74.0081522,58451,NA; Bychloe; NA; Serhant; Headway,NA; Real Estate (Except Coworking Providers); Healthcare,5
"205 Lexington Ave, New York, NY, 10016",40.7451494,-73.9804205,14151,NA; Allied Urological Services; NA,NA; Healthcare,3
"205 W 28th St, New York, NY, 10001",40.7474113,-73.9935522,106414,Navik Capital; R/GA; Chenel Capital; NA; NA; NA; Ellipsis Labs; Injective Labs; Chenel Capital; Mavik Capital Management; NA; Hyundai Motor Group; NA; NA,"Financial Services And Insurance; Technology, Advertising, Media, And Information; NA; Transportation; Unclassifiable",14
"205 W 39th St, New York, NY, 10018",40.7545915,-73.988931,12100,NA,NA,1
"207-217 W 25th St, New York, NY, 10001",40.7489792,-74.0032481,7918,NA; NA,NA,2
"208-212 W 30th St, New York, NY, 10001",40.7498022,-73.9955945,5002,NA; NA,NA,2
"209-219 W 38th St, New York, NY, 10018",40.7580249,-73.9995163,106847,NA; La Stella; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Le Styles; NA; NA; NA; NA; Belford; Joe And Elle; NA; NA; NA; NA; NA; 209 GROUP; Amanda Pearl; Jesco Footwear Group; Parke & Ronen; NA; NA; NA; Mystic Weaves Usa; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Duo Showroom; Zateks Textiles; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA; Retail,63
"21 W 38th St, New York, NY, 10018",40.7517333,-73.983939,48450,Relationship Capital Partners; NA; NA; NA; NA; NA; NA; NA; Skin; Sharefront; American Lung Association; Greenman-Pedersen,"Technology, Advertising, Media, And Information; NA; Personal Services And Recreation; Real Estate (Except Coworking Providers)",12
"21 W 46th St, New York, NY, 10036",40.7566824,-73.9800301,24326,Blackboard; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"Technology, Advertising, Media, And Information; NA",19
"210 Eleventh Ave, New York, NY, 10001",42.7355236,-73.711277,82247,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Gabriela Hearst Apparel; NA; NA; NA,NA,28
"211 E 43rd St, New York, NY, 10017",40.7512542,-73.9731311,108438,Knotel; NA; NA; NA; NA; NA; NA; NA; NA; Time Out; NA; NA; NA; NA; NA; NA; NA; Jc Elite; NA; NA; NA; NA; IINTOO; NA; NA,"Coworking And Executive Suite Companies; NA; Technology, Advertising, Media, And Information",25
"212-216 W 35th St, New York, NY, 10001",40.7497258,-73.9855538,39814,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,10
"213 W 35th St, New York, NY, 10001",40.7520011,-73.9906484,100411,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Haley & Aldrich; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",31
"214 W 29th St, New York, NY, 10001",40.7481402,-73.9938579,107566,Apparel Designer; Wework; NA; NA; NA,NA; Coworking And Executive Suite Companies,5
"214 W 39th St, New York, NY, 10018",40.7544094,-73.9892612,129196,Experience Clothing; Triple Fashions; NA; NA; Triple Fashion Corp; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Flag & Anthem; NA; NA; Flag & Anthem; NA; NA; NA; NA; NA; NA; NA; NA; Idio; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"Retail; NA; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); Technology, Advertising, Media, And Information",56
"214-218 Sullivan St, New York, NY, 10012",40.7273894,-74.0016279,45912,NA; NA; Fix Design Studio; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information",17
"215 Lexington Ave, New York, NY, 10016",40.7454587,-73.980239,61584,NA; Insigth Data; Grace Communications Foundation; NA; New York City Poison Center; Grace Communications Foundation; NA,"NA; Technology, Advertising, Media, And Information; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Government",7
"215 Park Ave S, New York, NY, 10003",40.7369619,-73.9884487,333857,Clarifai; Industrious National Management; NA; Industrious; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Charlie Health; NA; NA; NA; Nayya; NA; NA; NA; NA; NA; Stellar Health; Global Strategy Group; NA; NA; NA; Cognitiv,"Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies; NA; Healthcare; Unclassifiable",37
"215 W 40th St, New York, NY, 10018",40.7553056,-73.9886148,43102,Ksq Design; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"Construction, Engineering And Architecture; NA",13
"216 E 45th St, New York, NY, 10017",40.7520798,-73.9721693,118650,NA; NA; Lim College; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA; Education,15
"217 Broadway, New York, NY, 10007",40.7117563,-74.0088492,50916,Unite Us; NA; L&M Properties; NA; Tomorrow Health; NA; NA; NA; NA; NA; Unite Us; NA; NA,"Technology, Advertising, Media, And Information; NA; Healthcare",13
"218 W 18th St, New York, NY, 10011",40.7412914,-73.9990305,107772,Drive Shack; EY; Sae Institute (School Of Audio Engineering); NA; NA; NA,"Retail; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Education; Tbd; NA",6
"218-232 W 40th St, New York, NY, 10018",40.7580049,-73.9956088,133400,Long Island Business Institute; Touro College; NA; Definition 6; Ariela & Associates International; Expanded Schools S,"Education; NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail",6
"219 E 42nd St, New York, NY, 10017",40.7504062,-73.973183,350000,Pfizer,Pharmaceuticals,1
"22 Cortlandt St, New York, NY, 10007",40.7104815,-74.0104876,246635,Lovell Safety Management Co; Day & Zimmerman; NA; NA; Department Of Mental Health And Mental Hygiene; Municipal Credit Union; New York City Office Of Labor Relations; Office Of Labor Relations; Department Of Mental Health And Mental Hygiene,Financial Services And Insurance; NA; Government,9
"22 Vanderbilt Ave, New York, NY, 10017",40.753457,-73.9777688,870763,"Addepar; Joele Frank, Wilkinson Brimmer Katcher; Giorgio Armani; DISCO; Alti Tiedemann Global; Bain &; Duane Morris; Kennedys; Td Securities; Thompson Hine; Zelle; Meta; Morning Consult; Tiedemann Advisors; Pagaya Investments","Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail; Financial Services And Insurance; Legal Services",15
"22 W 19th St, New York, NY, 10011",40.7395583,-73.9927449,125012,NA; CHEQ; Morning Brew; 32BJ SEIU; Morning Brew; NA; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Tbd",10
"22 W 21st St, New York, NY, 10010",40.7407154,-73.992127,46676,NA; Knotel; NA; Nova Credit; NA; NA,NA; Coworking And Executive Suite Companies; Financial Services And Insurance,6
"22 W 27th St, New York, NY, 10001",40.7447388,-73.989605,12000,M&C Saatchi; NA,"Technology, Advertising, Media, And Information; NA",2
"22 W 38th St, New York, NY, 10018",40.7513727,-73.9839475,29405,NA; NA; NA; Reachdeak; NA,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",5
"22-30 Little W 12th St, New York, NY, 10014",40.7405755,-74.0085946,18632,Kao Brands,Retail,1
"22-30 W 34th St, New York, NY, 10001",40.7504053,-73.9891791,11500,NA,NA,1
"220 E 23rd St, New York, NY, 10010",40.7382607,-73.9822069,16604,NA; NA; Kaia Health; NA; NA; NA,NA; Healthcare,6
"220 E 42nd St, New York, NY, 10017",40.7501297,-73.9733465,535640,NA; Young Adult  Institute; NA; United Nations Women; Federative Republic Of Brazil; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Wpix Tribune Media; NA; NA; NA; NA; NA; NA; Community Preservation; NA; NA; Brazilian Financial Office; Brazilian Mission To The United States; Federative Republic Of Brazil,"NA; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Government; Technology, Advertising, Media, And Information; Tbd",28
"220 Fifth Ave, New York, NY, 10001",41.101762,-72.3659678,112865,NA; NA; Riskified; Ember Infrastructure Management; NA; The Knot Worldwide; NA; International Well Building Institute; NA; NA,"NA; Technology, Advertising, Media, And Information; Personal Services And Recreation; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",10
"220 W 19th St, New York, NY, 10011",40.7418621,-73.9985151,61285,Knotel; NA; The Corcoran Group; NA,Coworking And Executive Suite Companies; NA; Real Estate (Except Coworking Providers),4
"220 W 42nd St, New York, NY, 10036",40.7561565,-73.9881499,16278,NA; Engel Entertainment,"NA; Technology, Advertising, Media, And Information",2
"221-227 Canal St, New York, NY, 10013",40.7174071,-73.9991046,10500,Gutter Capital; NA,Financial Services And Insurance; NA,2
"222 Broadway, New York, NY, 10038",40.710852,-74.0083931,52342,Telaria; American Express (Resy),"Technology, Advertising, Media, And Information; Financial Services And Insurance",2
"222 W 37th St, New York, NY, 10018",40.7531749,-73.9904496,16900,NA; NA; NA; NA; NA; NA; NA; NA,NA,8
"223-225 W 35th St, New York, NY, 10001",40.7497258,-73.9855538,92813,Acoustiguide; Gmb Models; NA; NA; NA; NA; NA; Advanced Locksmith; Bowery Digital; Map360; Kazlow & Kazlow; Designer Loft; Presti & Naegele; NA; NA; Washington Computer Services; Marcus Adler Gloves; NA; NA; B Floral; NA; The Mighty; Vasquez Integrators,"NA; Technology, Advertising, Media, And Information; Legal Services; Retail; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",23
"224 W 29th St, New York, NY, 10001",40.7482841,-73.9941979,12321,NA; Episode Four,NA,2
"224 W 35th St, New York, NY, 10001",40.7532417,-73.9943778,127976,NA; NA; NA; Sd&A Telly Services; Dr. George Russell; J Suan Pattern; Xincon Homecare Services; Guinee Honey; Hypoxia; Crafty Apes; NA; NA; NA; NA; NA; NA; NA; NA; All City Label; Kl Software Technologies; Joseph Archibald Investigations; SHAWNEE; Cts Holdings; NA; Lifers; Printing Resolutions; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Atlas Rug Corp; Sooner; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Staffing 101 Group; Quieti Apparel; Ray Business Machines; Jin Accupuncture; Gg Painting Unlimited; Tri State Cpr And First Aid; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA; Retail,80
"224-232 W 30th St, New York, NY, 10001",40.7498022,-73.9955945,82267,Knotel; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,Coworking And Executive Suite Companies; NA,33
"225 Broadway, New York, NY, 10007",40.7119924,-74.0086526,267035,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Dr.kleyn; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Madhive; Tomorrow Health; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information; Healthcare",67
"225 Liberty St, New York, NY, 10281",40.712272,-74.0154361,1174562,Bank Of America; Convene; 3.1 Phillip Lim; Maven; J. Crew; Virtusa; Fortune Magazine; Maesa Group; NA; Drw Holdings; Kennedy Lewis Investment Management; NA; NA; NA; Simon-Kucher & Partners; AXA; Five Ring Capital; Masterworks; Brookfield Properties (Subsidiary Company); Masterworks,"Financial Services And Insurance; Coworking And Executive Suite Companies; Retail; Technology, Advertising, Media, And Information; NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Real Estate (Except Coworking Providers)",20
"225 Park Ave S, New York, NY, 10003",40.7373226,-73.9881724,257220,Meta; Arch Labs; Pinterest; Monday; Teachers Pay Teachers,"Technology, Advertising, Media, And Information; Financial Services And Insurance",5
"225 Varick St, New York, NY, 10014",40.7289815,-74.0056638,104071,Bazaarvoice; Squarespace; Brooklinen,"Technology, Advertising, Media, And Information; Retail",3
"225 W 37th St, New York, NY, 10018",40.7536428,-73.9904155,17821,NA; Js Chin; Lpe Engineering; NA; NA,NA,5
"225 W 39th St, New York, NY, 10018",40.754729,-73.9892175,66300,NA; NA; FJC; NA; NA; Lighthouse Films; Wework,"NA; Tbd; Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies",7
"226 W 26th St, New York, NY, 10001",40.7463643,-73.9956388,8500,NA,NA,1
"226 W 37th St, New York, NY, 10018",40.7532378,-73.9905991,8700,NA; NA; NA; NA,NA,4
"228 E 45th St, New York, NY, 10017",40.7518101,-73.9717502,107549,NA; NA; NA; NA; Bridal Guide Magazine; Makovsky &; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Tbd; Technology, Advertising, Media, And Information",21
"229 W 28th St, New York, NY, 10001",40.7480514,-73.9947655,75516,NA; NA; NA; NA; NA; NA; NA,NA; Tbd,7
"229 W 36th St, New York, NY, 10018",40.7530314,-73.9908449,19012,D S Simon Productions; Wework,"Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies",2
"229 W 43rd St, New York, NY, 10036",40.7574721,-73.9874718,140818,Fareportal; NA; Buzzfeed; Snap; NA,"Technology, Advertising, Media, And Information; NA",5
"23 W 20th St, New York, NY, 10011",40.7404937,-73.9924425,50351,Felicity House,Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals),1
